time_s,position_rad,velocity_rad_s,target_rad
2.8999966161791235e-07,0.0,0.00019198621444444444,0.25
0.01014115900034085,0.0,0.00888372574111111,0.25
0.020273160999749962,-0.00045378559777777775,0.007871434792222222,0.25
0.030394442999750027,0.0009948376566666667,0.00808087429888889,0.25
0.04051449199960189,0.002652900417777778,0.008133234175555556,0.25
0.0506343110000671,0.0034033919833333336,0.005602506803333333,0.25
0.060753339000257256,0.004345869763333334,0.006736970797777778,0.25
0.07087491099991894,0.006998770181111111,0.005393067296666667,0.25
0.08099368799958029,0.008831365864444444,0.004799655361111111,0.25
0.09111200499955885,0.01335176855,0.011257373483333333,0.25
0.10123107199979131,0.015847589337777777,0.01185078541888889,0.25
0.11135036999985459,0.022724186473333335,0.017174039546666665,0.25
0.12147147199993924,0.026563910762222222,0.01577777616888889,0.25
0.13159238299977005,0.030578167973333334,0.01624901505888889,0.25
0.1418757800001913,0.03974114639,0.014974924726666667,0.25
0.15199509800004307,0.044820054426666665,0.013840460732222223,0.25
0.1621158589996412,0.055676002188888886,0.02096140395888889,0.25
0.17237307600044005,0.06759660077666667,0.020821777621111114,0.25
0.18257405799977278,0.07382742610000001,0.020298178854444446,0.25
0.19287296299989976,0.08670795576,0.01989675313333333,0.25
0.20299353399968822,0.09368927264888889,0.018814649015555556,0.25
0.21311500600040745,0.10763445313444445,0.01869247597,0.25
0.22323450499970932,0.11501719574444444,0.026284658086666666,0.25
0.23335285099983594,0.1224522982311111,0.02607521858,0.25
0.2434734609996667,0.13770647563333333,0.025010567754444445,0.25
0.2535963159998573,0.1451939379966667,0.018011797573333335,0.25
0.26372500199977367,0.15995942321666665,0.026284658086666666,0.25
0.273859488999733,0.16701055327444445,0.01874483584666667,0.25
0.28401229999963107,0.18037977511666667,0.019216074736666665,0.25
0.29416670400041767,0.18694221299222222,0.019216074736666665,0.25
0.30431427500025166,0.19331266465333333,0.020751964452222223,0.25
0.31443533600031515,0.20514599677999998,0.02216568112222222,0.25
0.32455133799976466,0.21078341016777777,0.013561208056666666,0.25
0.33466845200018724,0.2204001741822222,0.014974924726666667,0.25
0.34481045299980906,0.2246238709,0.016371188104444444,0.25
0.3549561609997909,0.23190189375666667,0.009250244877777779,0.25
0.36508255199987616,0.23486895343444444,0.009512044261111111,0.25
0.37520142999983364,0.23745204068333334,0.010786134593333333,0.25
0.38531814300040423,0.24211206970666665,0.012531463815555555,0.25
0.39545698700021603,0.24410174502,0.005270894251111111,0.25
0.40573317100006534,0.24699899152888888,0.006195918738888888,0.25
0.41599845299970184,0.2480112824777778,0.007941247961111111,0.25
0.4261683759996231,0.24965189194666668,0.00808087429888889,0.25
0.43640259000039805,0.25035002363555553,0.007609635408888889,0.25
0.4470637269996587,0.2501405841288889,0.00801106113,0.25
0.45739435300038167,0.2505594631422222,0.008604473065555555,0.25
0.467617135999717,0.2505594631422222,0.008813912572222223,0.25
0.4778962740001589,0.2505594631422222,0.00019198621444444444,0.25
0.48808286900020903,0.2505594631422222,0.008813912572222223,0.25
0.4983960110002954,0.2505594631422222,0.008813912572222223,0.25
0.5085619869996663,0.2505594631422222,0.00019198621444444444,0.25
0.5186788510000042,0.2505594631422222,0.0,0.25
0.5288046109999414,0.2505594631422222,0.008744099403333334,0.25
0.5389850740002657,0.2505594631422222,0.0004014257211111111,0.25
0.5490996629996516,0.2505594631422222,0.0003316125522222222,0.25
0.5592143829999259,0.2505594631422222,0.0008028514422222222,0.25
0.5693317169998409,0.2495820787777778,0.00045378559777777775,0.25
0.5794470479995653,0.24951226560888887,0.0005235987666666667,0.25
0.5895623280002837,0.24951226560888887,0.008813912572222223,0.25
0.5996777090003889,0.24951226560888887,0.00012217304555555555,0.25
0.6097933499995634,0.24951226560888887,0.00888372574111111,0.25
0.6199287079998612,0.24951226560888887,0.008813912572222223,0.25
0.6300438289999875,0.24951226560888887,0.00888372574111111,0.25
0.6401596400000926,0.24951226560888887,0.0,0.25
0.6502748200000497,0.24951226560888887,0.0,0.25
0.660392425000282,0.24951226560888887,0.0003316125522222222,0.25
0.6705098200000066,0.24951226560888887,0.00026179938333333334,0.25
0.6806265229997734,0.24951226560888887,0.00888372574111111,0.25
0.690742345000217,0.24951226560888887,5.235987666666667e-05,0.25
0.7008579559997088,0.24951226560888887,0.0003316125522222222,0.25
0.7109738970002581,0.24951226560888887,0.008674286234444445,0.25
0.7210897889999615,0.24951226560888887,0.008604473065555555,0.25
0.7312050700002146,0.24951226560888887,0.0,0.25
0.7413239970001086,0.24951226560888887,0.0,0.25
0.7514455290001933,0.24951226560888887,0.0,0.25
0.7615630840000449,0.24951226560888887,0.008604473065555555,0.25
0.7718071769995731,0.24951226560888887,5.235987666666667e-05,0.25
0.7819332779999968,0.24951226560888887,0.0003316125522222222,0.25
0.7921439880001344,0.24951226560888887,0.0,0.25
